time_sec,dual_bound,objective_value,gap_pct,raw_line,objective_value_ffill,gap_pct_ffill,delta_objective,delta_gap,time_min
3.0,204439.0,,inf,  3.0s|     1 |     0 |   634 |     - |   249M |   0 |  18k| 729 | 583 |   0 |  0 | 146 |   0 | 2.044390e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.05
3.0,204439.0,,inf,  3.0s|     1 |     0 |   775 |     - |   258M |   0 |  18k| 729 | 590 |   7 |  1 | 146 |   0 | 2.044390e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.05
3.0,204439.0,,inf,  3.0s|     1 |     0 |   812 |     - |   260M |   0 |  18k| 729 | 598 |  15 |  2 | 146 |   0 | 2.044390e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.05
3.0,204438.9,,inf,  3.0s|     1 |     0 |   949 |     - |   262M |   0 |  18k| 729 | 608 |  25 |  3 | 146 |   0 | 2.044389e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.05
3.0,204438.8,,inf,  3.0s|     1 |     0 |  1068 |     - |   264M |   0 |  18k| 729 | 618 |  35 |  4 | 146 |   0 | 2.044388e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.05
4.0,204438.7,,inf,  4.0s|     1 |     0 |  1173 |     - |   268M |   0 |  18k| 729 | 626 |  43 |  5 | 146 |   0 | 2.044387e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.06666666666666667
4.0,204438.7,,inf,  4.0s|     1 |     0 |  1205 |     - |   271M |   0 |  18k| 729 | 637 |  54 |  6 | 146 |   0 | 2.044387e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.06666666666666667
4.0,204438.6,,inf,  4.0s|     1 |     0 |  1236 |     - |   275M |   0 |  18k| 729 | 646 |  63 |  7 | 146 |   0 | 2.044386e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.06666666666666667
4.0,204438.6,,inf,  4.0s|     1 |     0 |  1308 |     - |   276M |   0 |  18k| 729 | 655 |  72 |  8 | 146 |   0 | 2.044386e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.06666666666666667
5.0,204438.6,,inf,  5.0s|     1 |     0 |  1379 |     - |   278M |   0 |  18k| 729 | 664 |  81 |  9 | 146 |   0 | 2.044386e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.08333333333333333
