1/1 feasible solution given by solution candidate storage, new primal bound 2.018452e+05

presolving:
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) symmetry computation finished: 3 generators found (max: 1500, log10 of symmetry group size: 1.08) (symcode time: 0.00)
dynamic symmetry handling statistics:
   orbitopal reduction:       no components
   orbital reduction:          1 components of sizes 3
   lexicographic reduction:    3 permutations with support sizes 120, 8040, 8040
handled 1 out of 1 symmetry components
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 12060 variables (12060 bin, 0 int, 0 impl, 0 cont) and 510 constraints
    510 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.0s|     1 |     0 |   620 |     - |   160M |   0 |  12k| 519 | 483 |   0 |  0 |  36 |   0 | 2.020020e+05 | 2.018452e+05 |   0.08%| unknown
  0.0s|     1 |     0 |   620 |     - |   161M |   0 |  12k| 519 | 322 |   0 |  0 |  36 |   0 | 2.020020e+05 | 2.018452e+05 |   0.08%| unknown
  1.0s|     1 |     0 |   660 |     - |   166M |   0 |  12k| 519 | 329 |   7 |  1 |  36 |   0 | 2.020020e+05 | 2.018452e+05 |   0.08%| unknown
  1.0s|     1 |     0 |   702 |     - |   167M |   0 |  12k| 519 | 338 |  16 |  2 |  36 |   0 | 2.020020e+05 | 2.018452e+05 |   0.08%| unknown
  1.0s|     1 |     0 |   836 |     - |   169M |   0 |  12k| 519 | 347 |  25 |  3 |  36 |   0 | 2.020018e+05 | 2.018452e+05 |   0.08%| unknown
  1.0s|     1 |     0 |   901 |     - |   171M |   0 |  12k| 519 | 356 |  34 |  4 |  36 |   0 | 2.020017e+05 | 2.018452e+05 |   0.08%| unknown
  1.0s|     1 |     0 |   980 |     - |   171M |   0 |  12k| 519 | 364 |  42 |  5 |  36 |   0 | 2.020017e+05 | 2.018452e+05 |   0.08%| unknown
  1.0s|     1 |     0 |  1027 |     - |   173M |   0 |  12k| 519 | 371 |  49 |  6 |  36 |   0 | 2.020016e+05 | 2.018452e+05 |   0.08%| unknown
  1.0s|     1 |     0 |  1084 |     - |   174M |   0 |  12k| 520 | 378 |  56 |  7 |  37 |   0 | 2.020016e+05 | 2.018452e+05 |   0.08%| unknown
  1.0s|     1 |     0 |  1141 |     - |   174M |   0 |  12k| 520 | 385 |  63 |  8 |  37 |   0 | 2.020015e+05 | 2.018452e+05 |   0.08%| unknown
  2.0s|     1 |     0 |  1214 |     - |   175M |   0 |  12k| 520 | 392 |  70 |  9 |  37 |   0 | 2.020015e+05 | 2.018452e+05 |   0.08%| unknown
  2.0s|     1 |     0 |  1264 |     - |   175M |   0 |  12k| 520 | 399 |  77 | 10 |  37 |   0 | 2.020015e+05 | 2.018452e+05 |   0.08%| unknown
