1/1 feasible solution given by solution candidate storage, new primal bound 2.040379e+05

presolving:
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) symmetry computation finished: 5 generators found (max: 1500, log10 of symmetry group size: 1.68) (symcode time: 0.00)
dynamic symmetry handling statistics:
   orbitopal reduction:       no components
   orbital reduction:          1 components of sizes 5
   lexicographic reduction:    5 permutations with support sizes 120, 120, 120, 12040, 12040
handled 1 out of 1 symmetry components
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 18060 variables (18060 bin, 0 int, 0 impl, 0 cont) and 610 constraints
    610 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  2.0s|     1 |     0 |   634 |     - |   241M |   0 |  18k| 728 | 583 |   0 |  0 | 145 |   0 | 2.044390e+05 | 2.040379e+05 |   0.20%| unknown
  2.0s|     1 |     0 |   634 |     - |   241M |   0 |  18k| 728 | 487 |   0 |  0 | 145 |   0 | 2.044390e+05 | 2.040379e+05 |   0.20%| unknown
  2.0s|     1 |     0 |   674 |     - |   250M |   0 |  18k| 728 | 494 |   7 |  1 | 145 |   0 | 2.044390e+05 | 2.040379e+05 |   0.20%| unknown
  3.0s|     1 |     0 |   714 |     - |   250M |   0 |  18k| 728 | 503 |  16 |  2 | 145 |   0 | 2.044390e+05 | 2.040379e+05 |   0.20%| unknown
  3.0s|     1 |     0 |   860 |     - |   251M |   0 |  18k| 728 | 512 |  25 |  3 | 145 |   0 | 2.044389e+05 | 2.040379e+05 |   0.20%| unknown
  3.0s|     1 |     0 |   860 |     - |   251M |   0 |  18k| 728 | 512 |  25 |  3 | 145 |   0 | 2.044389e+05 | 2.040379e+05 |   0.20%| unknown
  3.0s|     1 |     0 |   953 |     - |   256M |   0 |  18k| 728 | 521 |  34 |  4 | 145 |   0 | 2.044388e+05 | 2.040379e+05 |   0.20%| unknown
  3.0s|     1 |     0 |   953 |     - |   256M |   0 |  18k| 728 | 521 |  34 |  4 | 145 |   0 | 2.044388e+05 | 2.040379e+05 |   0.20%| unknown
  3.0s|     1 |     0 |  1025 |     - |   256M |   0 |  18k| 728 | 529 |  42 |  5 | 145 |   0 | 2.044387e+05 | 2.040379e+05 |   0.20%| unknown
  3.0s|     1 |     0 |  1025 |     - |   256M |   0 |  18k| 728 | 529 |  42 |  5 | 145 |   0 | 2.044387e+05 | 2.040379e+05 |   0.20%| unknown
