time_sec,dual_bound,objective_value,gap_pct,raw_line,objective_value_ffill,gap_pct_ffill,delta_objective,delta_gap,time_min
0.0,136646.5,,inf,  0.0s|     1 |     0 |   242 |     - |   113M |   0 |8040 | 428 | 389 |   0 |  0 |  39 |   0 | 1.366465e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.0
0.0,136646.5,,inf,  0.0s|     1 |     0 |   334 |     - |   117M |   0 |8040 | 428 | 395 |   6 |  1 |  39 |   0 | 1.366465e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.0
0.0,136646.1,,inf,  0.0s|     1 |     0 |   362 |     - |   119M |   0 |8040 | 428 | 401 |  12 |  2 |  39 |   0 | 1.366461e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.0
1.0,136646.0,,inf,  1.0s|     1 |     0 |   392 |     - |   121M |   0 |8040 | 428 | 407 |  18 |  3 |  39 |   0 | 1.366460e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.016666666666666666
1.0,136645.9,,inf,  1.0s|     1 |     0 |   412 |     - |   123M |   0 |8040 | 428 | 414 |  25 |  4 |  39 |   0 | 1.366459e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.016666666666666666
1.0,136645.9,,inf,  1.0s|     1 |     0 |   439 |     - |   124M |   0 |8040 | 428 | 421 |  32 |  5 |  39 |   0 | 1.366459e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.016666666666666666
1.0,136645.8,,inf,  1.0s|     1 |     0 |   474 |     - |   124M |   0 |8040 | 428 | 428 |  39 |  6 |  39 |   0 | 1.366458e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.016666666666666666
1.0,136645.8,,inf,  1.0s|     1 |     0 |   502 |     - |   124M |   0 |8040 | 428 | 435 |  46 |  7 |  39 |   0 | 1.366458e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.016666666666666666
1.0,136645.7,,inf,  1.0s|     1 |     0 |   522 |     - |   124M |   0 |8040 | 428 | 441 |  52 |  8 |  39 |   0 | 1.366457e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.016666666666666666
1.0,136645.7,124217.8,10.0,r 1.0s|     1 |     0 |   522 |     - |shifting|   0 |8040 | 428 | 441 |  52 |  8 |  39 |   0 | 1.366457e+05 | 1.242178e+05 |  10.00%| unknown,124217.8,10.0,0.0,0.0,0.016666666666666666
1.0,136645.7,124217.8,10.0,  1.0s|     1 |     0 |   571 |     - |   125M |   0 |8040 | 428 | 447 |  58 |  9 |  39 |   0 | 1.366457e+05 | 1.242178e+05 |  10.00%| unknown,124217.8,10.0,0.0,0.0,0.016666666666666666
1.0,136645.7,132794.9,2.9,i 1.0s|     1 |     0 |   571 |     - |  oneopt|   0 |8040 | 428 | 447 |  58 |  9 |  39 |   0 | 1.366457e+05 | 1.327949e+05 |   2.90%| unknown,132794.9,2.9,8577.099999999991,-7.1,0.016666666666666666
1.0,136645.6,132794.9,2.9,  1.0s|     1 |     0 |   594 |     - |   125M |   0 |8040 | 428 | 453 |  64 | 10 |  39 |   0 | 1.366456e+05 | 1.327949e+05 |   2.90%| unknown,132794.9,2.9,0.0,0.0,0.016666666666666666
1.0,136645.6,132794.9,2.9,  1.0s|     1 |     0 |   623 |     - |   125M |   0 |8040 | 428 | 460 |  71 | 11 |  39 |   0 | 1.366456e+05 | 1.327949e+05 |   2.90%| unknown,132794.9,2.9,0.0,0.0,0.016666666666666666
2.0,136644.4,132794.9,2.9,  2.0s|     1 |     2 |  1888 |     - |   127M |   0 |8040 | 455 | 460 |  71 | 11 |  66 |  17 | 1.366444e+05 | 1.327949e+05 |   2.90%| unknown,132794.9,2.9,0.0,0.0,0.03333333333333333
10.0,136642.3,134873.9,1.31,d10.0s|    29 |    30 |  4779 | 148.4 |pscostdi|  15 |8040 | 475 | 425 |   0 |  1 |  91 | 533 | 1.366423e+05 | 1.348739e+05 |   1.31%| unknown,134873.9,1.31,2079.0,-1.5899999999999999,0.16666666666666666
16.0,136642.1,134873.9,1.31, 16.0s|   100 |   101 |  8322 |  77.8 |   154M |  21 |8040 | 487 | 421 | 142 |  1 | 107 | 920 | 1.366421e+05 | 1.348739e+05 |   1.31%| unknown,134873.9,1.31,0.0,0.0,0.26666666666666666
20.0,136642.1,135936.7,0.52,r20.0s|   166 |   153 | 16195 |  94.4 |randroun|  40 |8040 | 491 | 433 | 163 |  2 | 111 | 974 | 1.366421e+05 | 1.359367e+05 |   0.52%|   0.62%,135936.7,0.52,1062.8000000000175,-0.79,0.3333333333333333
20.0,136642.1,136410.1,0.17,r20.0s|   166 |   145 | 16201 |  94.4 |rounding|  40 |8040 | 491 | 435 | 165 |  3 | 111 | 974 | 1.366421e+05 | 1.364101e+05 |   0.17%|   4.92%,136410.1,0.17,473.3999999999942,-0.35,0.3333333333333333
22.0,136642.1,136410.1,0.17, 22.0s|   200 |   181 | 17014 |  82.4 |   192M |  43 |8040 | 454 | 421 | 177 |  1 | 115 |1041 | 1.366421e+05 | 1.364101e+05 |   0.17%|   4.92%,136410.1,0.17,0.0,0.0,0.36666666666666664
24.0,136642.1,136410.1,0.17, 24.0s|   300 |   281 | 18613 |  60.2 |   199M |  43 |8040 | 455 | 424 | 215 |  1 | 117 |1176 | 1.366421e+05 | 1.364101e+05 |   0.17%|   4.92%,136410.1,0.17,0.0,0.0,0.4
25.0,136642.1,136517.8,0.09,L25.0s|   366 |   334 | 20179 |  53.6 |crossove|  43 |8040 | 454 | 424 | 231 |  1 | 117 |1232 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.06%,136517.8,0.09,107.69999999998254,-0.08000000000000002,0.4166666666666667
26.0,136642.1,136517.8,0.09, 26.0s|   400 |   364 | 20678 |  50.3 |   204M |  43 |8040 | 453 | 422 | 243 |  1 | 117 |1261 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.06%,136517.8,0.09,0.0,0.0,0.43333333333333335
28.0,136642.1,136517.8,0.09, 28.0s|   500 |   464 | 22187 |  43.2 |   205M |  43 |8040 | 450 | 422 | 272 |  1 | 117 |1343 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.06%,136517.8,0.09,0.0,0.0,0.4666666666666667
30.0,136642.1,136517.8,0.09, 30.0s|   600 |   564 | 23683 |  38.5 |   207M |  45 |8040 | 450 | 423 | 307 |  1 | 117 |1414 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.06%,136517.8,0.09,0.0,0.0,0.5
32.0,136642.1,136517.8,0.09, 32.0s|   700 |   664 | 24941 |  34.8 |   209M |  45 |8040 | 450 | 427 | 340 |  1 | 117 |1524 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.06%,136517.8,0.09,0.0,0.0,0.5333333333333333
35.0,136642.1,136517.8,0.09, 35.0s|   800 |   764 | 26823 |  32.8 |   210M |  45 |8040 | 470 | 430 | 387 |  1 | 137 |1620 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.06%,136517.8,0.09,0.0,0.0,0.5833333333333334
37.0,136642.1,136517.8,0.09, 37.0s|   900 |   854 | 27997 |  30.4 |   212M |  48 |8040 | 476 | 426 | 427 |  1 | 146 |1881 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.06%,136517.8,0.09,0.0,0.0,0.6166666666666667
40.0,136642.1,136517.8,0.09, 40.0s|  1000 |   952 | 29317 |  28.7 |   217M |  50 |8040 | 475 | 426 | 489 | 13 | 147 |1954 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.06%,136517.8,0.09,0.0,0.0,0.6666666666666666
41.0,136642.1,136517.8,0.09, 41.0s|  1100 |  1050 | 30423 |  27.1 |   218M |  50 |8040 | 474 | 429 | 511 |  1 | 147 |2007 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.06%,136517.8,0.09,0.0,0.0,0.6833333333333333
43.0,136642.1,136517.8,0.09, 43.0s|  1200 |  1146 | 31880 |  26.1 |   220M |  50 |8040 | 474 | 431 | 551 |  1 | 148 |2059 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.06%,136517.8,0.09,0.0,0.0,0.7166666666666667
45.0,136642.1,136517.8,0.09, 45.0s|  1300 |  1242 | 33145 |  25.0 |   227M |  50 |8040 | 489 | 429 | 589 |  1 | 167 |2213 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.06%,136517.8,0.09,0.0,0.0,0.75
47.0,136642.1,136517.8,0.09, 47.0s|  1400 |  1332 | 34603 |  24.3 |   228M |  50 |8040 | 491 | 427 | 611 |  1 | 180 |2471 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.06%,136517.8,0.09,0.0,0.0,0.7833333333333333
57.0,136642.1,136517.8,0.09, 57.0s|  1500 |  1426 | 39141 |  25.7 |   284M |  50 |8040 | 493 | 424 | 856 |  1 | 190 |2879 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.06%,136517.8,0.09,0.0,0.0,0.95
63.0,136642.1,136517.8,0.09, 63.0s|  1600 |  1524 | 41016 |  25.3 |   290M |  55 |8040 | 807 | 427 | 887 |  1 | 623 |3386 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.06%,136517.8,0.09,0.0,0.0,1.05
69.0,136642.1,136517.8,0.09, 69.0s|  1700 |  1610 | 43460 |  25.2 |   292M |  61 |8040 | 823 | 424 | 915 |  1 | 692 |4271 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.07%,136517.8,0.09,0.0,0.0,1.15
71.0,136642.1,136517.8,0.09, 71.0s|  1800 |  1708 | 45394 |  24.9 |   293M |  61 |8040 | 819 | 423 | 933 |  2 | 698 |4397 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.07%,136517.8,0.09,0.0,0.0,1.1833333333333333
80.0,136642.1,136517.8,0.09, 80.0s|  1900 |  1800 | 49300 |  25.6 |   293M |  61 |8040 | 846 | 427 |1024 |  1 | 752 |5897 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.07%,136517.8,0.09,0.0,0.0,1.3333333333333333
85.0,136642.1,136517.8,0.09, 85.0s|  2000 |  1896 | 51604 |  25.5 |   295M |  61 |8040 | 833 | 423 |1061 |  2 | 758 |6765 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.07%,136517.8,0.09,0.0,0.0,1.4166666666666667
89.0,136642.1,136517.8,0.09, 89.0s|  2100 |  1986 | 53123 |  25.0 |   300M |  61 |8040 | 833 | 430 |1134 |  1 | 761 |6784 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.07%,136517.8,0.09,0.0,0.0,1.4833333333333334
91.0,136642.1,136517.8,0.09, 91.0s|  2200 |  2076 | 54501 |  24.5 |   301M |  61 |8040 | 900 | 435 |1156 |  1 | 868 |6883 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.07%,136517.8,0.09,0.0,0.0,1.5166666666666666
93.0,136642.1,136517.8,0.09, 93.0s|  2300 |  2168 | 55610 |  23.9 |   304M |  61 |8040 | 912 | 426 |1184 |  1 | 888 |6917 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.07%,136517.8,0.09,0.0,0.0,1.55
95.0,136642.1,136517.8,0.09, 95.0s|  2400 |  2254 | 56646 |  23.4 |   305M |  66 |8040 | 922 | 428 |1220 |  1 | 906 |7022 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.07%,136517.8,0.09,0.0,0.0,1.5833333333333333
98.0,136642.1,136517.8,0.09, 98.0s|  2500 |  2352 | 57952 |  22.9 |   306M |  66 |8040 | 922 | 426 |1313 |  1 | 920 |7092 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.07%,136517.8,0.09,0.0,0.0,1.6333333333333333
106.0,136642.1,136517.8,0.09,  106s|  2600 |  2446 | 61544 |  23.4 |   307M |  66 |8040 | 889 | 430 |1364 |  1 | 949 |8371 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.07%,136517.8,0.09,0.0,0.0,1.7666666666666666
111.0,136642.1,136517.8,0.09,  111s|  2700 |  2536 | 63793 |  23.4 |   310M |  66 |8040 | 884 | 430 |1441 |  1 | 969 |8917 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.07%,136517.8,0.09,0.0,0.0,1.85
117.0,136642.1,136517.8,0.09,  117s|  2800 |  2634 | 66325 |  23.5 |   311M |  66 |8040 | 877 | 422 |1522 |  9 | 992 |9827 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.07%,136517.8,0.09,0.0,0.0,1.95
121.0,136642.1,136517.8,0.09,  121s|  2900 |  2730 | 68298 |  23.3 |   319M |  66 |8040 | 879 | 423 |1613 |  1 |1010 |  10k| 1.366421e+05 | 1.365178e+05 |   0.09%|   5.07%,136517.8,0.09,0.0,0.0,2.0166666666666666
124.0,136642.1,136517.8,0.09,  124s|  3000 |  2826 | 69840 |  23.1 |   322M |  66 |8040 | 859 | 423 |1648 |  1 |1017 |  10k| 1.366421e+05 | 1.365178e+05 |   0.09%|   5.07%,136517.8,0.09,0.0,0.0,2.066666666666667
127.0,136642.1,136517.8,0.09,  127s|  3100 |  2926 | 71292 |  22.8 |   323M |  66 |8040 | 845 | 429 |1751 |  1 |1017 |  10k| 1.366421e+05 | 1.365178e+05 |   0.09%|   5.07%,136517.8,0.09,0.0,0.0,2.1166666666666667
130.0,136642.1,136517.8,0.09,  130s|  3200 |  3026 | 73152 |  22.7 |   325M |  66 |8040 | 845 | 434 |1848 |  1 |1034 |  10k| 1.366421e+05 | 1.365178e+05 |   0.09%|   5.07%,136517.8,0.09,0.0,0.0,2.1666666666666665
133.0,136642.1,136517.8,0.09,  133s|  3300 |  3122 | 74462 |  22.4 |   326M |  66 |8040 | 830 | 430 |1940 |  1 |1037 |  10k| 1.366421e+05 | 1.365178e+05 |   0.09%|   5.07%,136517.8,0.09,0.0,0.0,2.216666666666667
134.0,136642.1,136517.8,0.09,  134s|  3400 |  3218 | 75792 |  22.1 |   327M |  66 |8040 | 808 | 429 |1960 |  2 |1055 |  10k| 1.366421e+05 | 1.365178e+05 |   0.09%|   5.07%,136517.8,0.09,0.0,0.0,2.2333333333333334
139.0,136642.1,136517.8,0.09,  139s|  3500 |  3316 | 77798 |  22.1 |   330M |  66 |8040 | 779 | 426 |2078 |  1 |1069 |  10k| 1.366421e+05 | 1.365178e+05 |   0.09%|   5.07%,136517.8,0.09,0.0,0.0,2.316666666666667
141.0,136642.1,136517.8,0.09,  141s|  3600 |  3414 | 78964 |  21.8 |   336M |  66 |8040 | 762 | 427 |2138 |  1 |1069 |  10k| 1.366421e+05 | 1.365178e+05 |   0.09%|   5.07%,136517.8,0.09,0.0,0.0,2.35
144.0,136642.1,136517.8,0.09,  144s|  3700 |  3514 | 80518 |  21.6 |   338M |  66 |8040 | 730 | 423 |2231 |  1 |1077 |  10k| 1.366421e+05 | 1.365178e+05 |   0.09%|   5.07%,136517.8,0.09,0.0,0.0,2.4
147.0,136642.1,136517.8,0.09,  147s|  3800 |  3614 | 81999 |  21.4 |   341M |  66 |8040 | 704 | 433 |2299 |  2 |1077 |  10k| 1.366421e+05 | 1.365178e+05 |   0.09%|   5.07%,136517.8,0.09,0.0,0.0,2.45
149.0,136642.1,136517.8,0.09,  149s|  3900 |  3706 | 83076 |  21.1 |   342M |  79 |8040 | 632 | 429 |2323 |  1 |1083 |  10k| 1.366421e+05 | 1.365178e+05 |   0.09%|   5.07%,136517.8,0.09,0.0,0.0,2.4833333333333334
151.0,136642.1,136517.8,0.09,  151s|  4000 |  3798 | 83931 |  20.8 |   344M |  79 |8040 | 621 | 428 |2350 |  1 |1087 |  11k| 1.366421e+05 | 1.365178e+05 |   0.09%|   5.07%,136517.8,0.09,0.0,0.0,2.5166666666666666
154.0,136642.1,136519.0,0.09,r 154s|  4076 |  3860 | 85333 |  20.8 |rounding|  79 |8040 | 633 | 431 |2381 |  1 |1154 |  11k| 1.366421e+05 | 1.365190e+05 |   0.09%|   5.07%,136519.0,0.09,1.2000000000116415,0.0,2.566666666666667
154.0,136642.1,136519.0,0.09,  154s|  4100 |  3886 | 85633 |  20.7 |   346M |  79 |8040 | 623 | 425 |2383 |  1 |1154 |  11k| 1.366421e+05 | 1.365190e+05 |   0.09%|   5.07%,136519.0,0.09,0.0,0.0,2.566666666666667
157.0,136642.1,136519.0,0.09,  157s|  4200 |  3974 | 86409 |  20.4 |   347M |  79 |8040 | 644 | 430 |2424 |  1 |1238 |  11k| 1.366421e+05 | 1.365190e+05 |   0.09%|   5.07%,136519.0,0.09,0.0,0.0,2.6166666666666667
158.0,136642.1,136519.0,0.09,  158s|  4300 |  4070 | 87628 |  20.2 |   348M |  79 |8040 | 633 | 439 |2454 |  1 |1238 |  11k| 1.366421e+05 | 1.365190e+05 |   0.09%|   5.07%,136519.0,0.09,0.0,0.0,2.6333333333333333
160.0,136642.1,136519.0,0.09,  160s|  4400 |  4170 | 88778 |  20.0 |   349M |  79 |8040 | 618 | 427 |2541 |  2 |1238 |  11k| 1.366421e+05 | 1.365190e+05 |   0.09%|   5.07%,136519.0,0.09,0.0,0.0,2.6666666666666665
164.0,136642.1,136519.0,0.09,  164s|  4500 |  4268 | 90564 |  20.0 |   350M |  79 |8040 | 621 | 430 |2565 |  1 |1263 |  11k| 1.366421e+05 | 1.365190e+05 |   0.09%|   5.07%,136519.0,0.09,0.0,0.0,2.7333333333333334
165.0,136642.1,136519.0,0.09,  165s|  4600 |  4366 | 91664 |  19.8 |   352M |  79 |8040 | 609 | 429 |2605 |  1 |1265 |  11k| 1.366421e+05 | 1.365190e+05 |   0.09%|   5.07%,136519.0,0.09,0.0,0.0,2.75
167.0,136642.1,136519.0,0.09,  167s|  4700 |  4466 | 93044 |  19.7 |   354M |  79 |8040 | 621 | 426 |2649 |  1 |1286 |  11k| 1.366421e+05 | 1.365190e+05 |   0.09%|   5.07%,136519.0,0.09,0.0,0.0,2.783333333333333
167.0,136642.1,136519.1,0.09,r 167s|  4705 |  4471 | 93069 |  19.7 |ziroundi|  79 |8040 | 621 | 430 |2654 |  1 |1286 |  11k| 1.366421e+05 | 1.365191e+05 |   0.09%|   5.07%,136519.1,0.09,0.10000000000582077,0.0,2.783333333333333
171.0,136642.1,136519.1,0.09,  171s|  4800 |  4564 | 95129 |  19.7 |   355M |  79 |8040 | 614 | 430 |2681 |  1 |1299 |  12k| 1.366421e+05 | 1.365191e+05 |   0.09%|   5.07%,136519.1,0.09,0.0,0.0,2.85
176.0,136642.1,136519.1,0.09,  176s|  4900 |  4660 | 97239 |  19.7 |   356M |  79 |8040 | 607 | 428 |2723 |  1 |1315 |  13k| 1.366421e+05 | 1.365191e+05 |   0.09%|   5.07%,136519.1,0.09,0.0,0.0,2.933333333333333
178.0,136642.1,136519.1,0.09,  178s|  5000 |  4742 | 99030 |  19.7 |   357M |  79 |8040 | 601 | 429 |2750 |  1 |1320 |  13k| 1.366421e+05 | 1.365191e+05 |   0.09%|   5.07%,136519.1,0.09,0.0,0.0,2.966666666666667
180.0,136642.1,136519.1,0.09,  180s|  5100 |  4834 |100852 |  19.7 |   359M |  81 |8040 | 593 | 424 |2760 |  1 |1352 |  13k| 1.366421e+05 | 1.365191e+05 |   0.09%|   5.07%,136519.1,0.09,0.0,0.0,3.0
181.0,136642.1,136519.1,0.09,  181s|  5200 |  4928 |101618 |  19.4 |   360M |  81 |8040 | 581 | 434 |2788 |  1 |1352 |  13k| 1.366421e+05 | 1.365191e+05 |   0.09%|   5.07%,136519.1,0.09,0.0,0.0,3.0166666666666666
183.0,136642.1,136519.1,0.09,  183s|  5300 |  5024 |103072 |  19.3 |   362M |  81 |8040 | 574 | 428 |2815 |  5 |1362 |  13k| 1.366421e+05 | 1.365191e+05 |   0.09%|   5.08%,136519.1,0.09,0.0,0.0,3.05
185.0,136642.1,136519.1,0.09,  185s|  5400 |  5116 |104395 |  19.2 |   364M |  81 |8040 | 559 | 429 |2883 |  2 |1364 |  13k| 1.366421e+05 | 1.365191e+05 |   0.09%|   5.08%,136519.1,0.09,0.0,0.0,3.0833333333333335
189.0,136642.1,136519.1,0.09,  189s|  5500 |  5204 |105638 |  19.1 |   378M |  81 |8040 | 558 | 427 |2945 |  1 |1400 |  13k| 1.366421e+05 | 1.365191e+05 |   0.09%|   5.08%,136519.1,0.09,0.0,0.0,3.15
191.0,136642.1,136519.1,0.09,  191s|  5600 |  5304 |106836 |  19.0 |   387M |  81 |8040 | 542 | 436 |2999 |  2 |1400 |  13k| 1.366421e+05 | 1.365191e+05 |   0.09%|   5.08%,136519.1,0.09,0.0,0.0,3.183333333333333
193.0,136642.1,136519.1,0.09,  193s|  5700 |  5394 |108078 |  18.9 |   388M |  81 |8040 | 533 | 433 |3043 |  1 |1403 |  13k| 1.366421e+05 | 1.365191e+05 |   0.09%|   5.08%,136519.1,0.09,0.0,0.0,3.216666666666667
197.0,136642.1,136519.1,0.09,  197s|  5800 |  5482 |109636 |  18.8 |   389M |  81 |8040 | 536 | 427 |3082 |  1 |1431 |  14k| 1.366421e+05 | 1.365191e+05 |   0.09%|   5.08%,136519.1,0.09,0.0,0.0,3.283333333333333
200.0,136642.1,136519.1,0.09,  200s|  5900 |  5580 |111117 |  18.7 |   391M |  81 |8040 | 527 | 433 |3137 |  2 |1431 |  14k| 1.366421e+05 | 1.365191e+05 |   0.09%|   5.08%,136519.1,0.09,0.0,0.0,3.3333333333333335
