1/1 feasible solution given by solution candidate storage, new primal bound 1.366128e+05

presolving:
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) symmetry computation finished: 2 generators found (max: 1500, log10 of symmetry group size: 0.60) (symcode time: 0.00)
dynamic symmetry handling statistics:
   orbitopal reduction:       no components
   orbital reduction:          1 components of sizes 2
   lexicographic reduction:    2 permutations with support sizes 80, 8040
handled 1 out of 1 symmetry components
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 8040 variables (8040 bin, 0 int, 0 impl, 0 cont) and 407 constraints
    407 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.0s|     1 |     0 |   242 |     - |   109M |   0 |8040 | 427 | 389 |   0 |  0 |  38 |   0 | 1.366465e+05 | 1.366128e+05 |   0.02%| unknown
  0.0s|     1 |     0 |   242 |     - |   109M |   0 |8040 | 427 | 181 |   0 |  0 |  38 |   0 | 1.366465e+05 | 1.366128e+05 |   0.02%| unknown
  0.0s|     1 |     0 |   249 |     - |   113M |   0 |8040 | 427 | 187 |   6 |  1 |  38 |   0 | 1.366465e+05 | 1.366128e+05 |   0.02%| unknown
  0.0s|     1 |     0 |   277 |     - |   113M |   0 |8040 | 427 | 193 |  12 |  2 |  38 |   0 | 1.366461e+05 | 1.366128e+05 |   0.02%| unknown
  0.0s|     1 |     0 |   277 |     - |   113M |   0 |8040 | 427 | 193 |  12 |  2 |  38 |   0 | 1.366461e+05 | 1.366128e+05 |   0.02%| unknown
  0.0s|     1 |     0 |   301 |     - |   114M |   0 |8040 | 427 | 199 |  18 |  3 |  38 |   0 | 1.366460e+05 | 1.366128e+05 |   0.02%| unknown
  0.0s|     1 |     0 |   301 |     - |   114M |   0 |8040 | 427 | 199 |  18 |  3 |  38 |   0 | 1.366460e+05 | 1.366128e+05 |   0.02%| unknown
  0.0s|     1 |     0 |   346 |     - |   114M |   0 |8040 | 427 | 205 |  24 |  4 |  38 |   0 | 1.366458e+05 | 1.366128e+05 |   0.02%| unknown
  0.0s|     1 |     0 |   346 |     - |   114M |   0 |8040 | 427 | 205 |  24 |  4 |  38 |   0 | 1.366458e+05 | 1.366128e+05 |   0.02%| unknown
  1.0s|     1 |     0 |   365 |     - |   114M |   0 |8040 | 427 | 210 |  29 |  5 |  38 |   0 | 1.366458e+05 | 1.366128e+05 |   0.02%| unknown
  1.0s|     1 |     0 |   365 |     - |   114M |   0 |8040 | 427 | 210 |  29 |  5 |  38 |   0 | 1.366458e+05 | 1.366128e+05 |   0.02%| unknown
  1.0s|     1 |     0 |   381 |     - |   115M |   0 |8040 | 427 | 215 |  34 |  6 |  38 |   0 | 1.366458e+05 | 1.366128e+05 |   0.02%| unknown
  1.0s|     1 |     0 |   393 |     - |   115M |   0 |8040 | 427 | 220 |  39 |  7 |  38 |   0 | 1.366458e+05 | 1.366128e+05 |   0.02%| unknown
  1.0s|     1 |     0 |   413 |     - |   115M |   0 |8040 | 427 | 224 |  43 |  8 |  38 |   0 | 1.366458e+05 | 1.366128e+05 |   0.02%| unknown
  1.0s|     1 |     0 |   442 |     - |   115M |   0 |8040 | 427 | 228 |  47 |  9 |  38 |   0 | 1.366457e+05 | 1.366128e+05 |   0.02%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  1.0s|     1 |     0 |   493 |     - |   115M |   0 |8040 | 427 | 234 |  53 | 10 |  38 |   0 | 1.366457e+05 | 1.366128e+05 |   0.02%| unknown
  1.0s|     1 |     0 |   524 |     - |   115M |   0 |8040 | 427 | 238 |  60 | 11 |  38 |   0 | 1.366457e+05 | 1.366128e+05 |   0.02%| unknown
  2.0s|     1 |     2 |  1478 |     - |   117M |   0 |8040 | 254 | 238 |  60 | 11 |  73 |  31 | 1.366444e+05 | 1.366128e+05 |   0.02%| unknown
  8.0s|   100 |    73 |  3201 |  27.0 |   124M |  33 |8040 | 260 | 215 |  78 |  1 | 114 | 713 | 1.366408e+05 | 1.366128e+05 |   0.02%|  47.59%
 11.0s|   200 |   157 |  5172 |  23.4 |   131M |  34 |8040 | 265 | 213 | 101 |  2 | 135 |1211 | 1.366408e+05 | 1.366128e+05 |   0.02%|  47.59%
 15.0s|   300 |   251 |  7782 |  24.3 |   139M |  34 |8040 | 279 | 212 | 144 |  1 | 185 |1886 | 1.366408e+05 | 1.366128e+05 |   0.02%|  47.61%
 17.0s|   400 |   351 |  9238 |  21.8 |   144M |  34 |8040 | 278 | 217 | 189 |  1 | 187 |1908 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.62%
 18.0s|   500 |   443 | 10306 |  19.6 |   149M |  34 |8040 | 281 | 216 | 232 |  1 | 191 |1928 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.62%
 21.0s|   600 |   539 | 11970 |  19.1 |   151M |  34 |8040 | 274 | 217 | 266 |  1 | 203 |2299 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.62%
 24.0s|   700 |   635 | 13874 |  19.1 |   153M |  34 |8040 | 331 | 219 | 318 |  2 | 269 |2787 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.62%
 25.0s|   800 |   733 | 15292 |  18.5 |   154M |  44 |8040 | 324 | 220 | 353 |  1 | 271 |2944 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.62%
 28.0s|   900 |   825 | 17251 |  18.6 |   154M |  51 |8040 | 315 | 214 | 374 |116 | 286 |3339 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.62%
 30.0s|  1000 |   921 | 18535 |  18.0 |   155M |  51 |8040 | 308 | 211 | 422 |  1 | 293 |3737 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.62%
 32.0s|  1100 |  1015 | 19607 |  17.4 |   156M |  51 |8040 | 310 | 214 | 448 |  2 | 309 |3816 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.65%
 33.0s|  1200 |  1115 | 20632 |  16.8 |   157M |  51 |8040 | 316 | 213 | 480 |  1 | 321 |3828 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.65%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 34.0s|  1300 |  1215 | 22412 |  16.8 |   158M |  51 |8040 | 313 | 215 | 500 |  1 | 323 |3841 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.65%
 36.0s|  1400 |  1315 | 23258 |  16.3 |   158M |  51 |8040 | 327 | 215 | 536 |  1 | 337 |3851 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.65%
 37.0s|  1500 |  1415 | 24184 |  15.8 |   158M |  51 |8040 | 334 | 220 | 563 |  1 | 351 |3870 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.65%
 38.0s|  1600 |  1515 | 24992 |  15.3 |   158M |  51 |8040 | 337 | 216 | 588 |  1 | 357 |3879 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.65%
 39.0s|  1700 |  1607 | 26031 |  15.0 |   159M |  51 |8040 | 334 | 216 | 622 |  1 | 362 |4045 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.65%
 40.0s|  1800 |  1703 | 27294 |  14.9 |   161M |  51 |8040 | 330 | 214 | 667 |  1 | 364 |4053 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.65%
 42.0s|  1900 |  1791 | 28310 |  14.6 |   163M |  51 |8040 | 357 | 221 | 693 |  1 | 397 |4151 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.65%
 43.0s|  2000 |  1883 | 29378 |  14.4 |   163M |  57 |8040 | 359 | 218 | 720 |  1 | 405 |4240 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.65%
 44.0s|  2100 |  1979 | 30690 |  14.4 |   164M |  57 |8040 | 357 | 216 | 745 |  1 | 418 |4360 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.65%
 46.0s|  2200 |  2069 | 31684 |  14.2 |   164M |  57 |8040 | 359 | 221 | 782 |  1 | 428 |4594 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.65%
 47.0s|  2300 |  2163 | 32399 |  13.9 |   164M |  57 |8040 | 366 | 212 | 816 |  1 | 439 |4597 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.65%
 48.0s|  2400 |  2263 | 33207 |  13.6 |   166M |  57 |8040 | 378 | 215 | 855 |  1 | 453 |4598 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 49.0s|  2500 |  2363 | 33994 |  13.4 |   169M |  57 |8040 | 374 | 232 | 895 |  2 | 455 |4602 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 56.0s|  2600 |  2463 | 37194 |  14.1 |   170M |  57 |8040 | 351 | 216 | 932 |  1 | 469 |5983 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
Restart triggered after 50 consecutive estimations that the remaining tree will be large
 58.0s|  2700 |  2555 | 38077 |  13.9 |   171M |  57 |8040 | 354 | 218 | 961 |  2 | 477 |5987 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 60.0s|  2800 |  2655 | 39827 |  14.0 |   172M |  57 |8040 | 350 | 222 | 989 |  1 | 478 |6000 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 62.0s|  2900 |  2745 | 40884 |  13.9 |   173M |  57 |8040 | 362 | 216 |1031 |  1 | 504 |6195 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 64.0s|  3000 |  2843 | 42270 |  13.9 |   174M |  57 |8040 | 359 | 215 |1048 |  1 | 516 |6655 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 70.0s|  3100 |  2941 | 44361 |  14.1 |   201M |  57 |8040 | 360 | 216 |1270 |  1 | 520 |6806 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 76.0s|  3200 |  3033 | 47939 |  14.8 |   201M |  57 |8040 | 330 | 215 |1284 |  1 | 547 |8182 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 78.0s|  3300 |  3131 | 48940 |  14.7 |   201M |  57 |8040 | 334 | 212 |1318 |  1 | 555 |8186 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 79.0s|  3400 |  3223 | 50079 |  14.6 |   202M |  57 |8040 | 346 | 219 |1370 |  1 | 573 |8203 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 81.0s|  3500 |  3323 | 52061 |  14.7 |   203M |  57 |8040 | 338 | 216 |1397 |  1 | 578 |8513 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 85.0s|  3600 |  3419 | 54853 |  15.1 |   204M |  57 |8040 | 356 | 214 |1436 |  1 | 673 |9352 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 97.0s|  3700 |  3515 | 60838 |  16.3 |   217M |  57 |8040 | 387 | 216 |1744 |  1 | 773 |  10k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 98.0s|  3800 |  3615 | 61668 |  16.1 |   218M |  57 |8040 | 395 | 217 |1760 |  1 | 785 |  10k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 99.0s|  3900 |  3715 | 62583 |  15.9 |   218M |  57 |8040 | 396 | 219 |1779 |  1 | 800 |  10k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  100s|  4000 |  3815 | 63176 |  15.7 |   218M |  57 |8040 | 406 | 217 |1799 |  1 | 816 |  10k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  102s|  4100 |  3915 | 64809 |  15.7 |   219M |  57 |8040 | 397 | 214 |1819 |  1 | 823 |  11k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  104s|  4200 |  4015 | 66240 |  15.7 |   220M |  57 |8040 | 395 | 216 |1855 |  1 | 833 |  11k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  105s|  4300 |  4111 | 67384 |  15.6 |   220M |  57 |8040 | 408 | 223 |1886 |  1 | 860 |  11k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  106s|  4400 |  4211 | 68242 |  15.4 |   220M |  57 |8040 | 408 | 223 |1910 |  1 | 865 |  11k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  109s|  4500 |  4311 | 70523 |  15.6 |   220M |  57 |8040 | 393 | 225 |1938 |  1 | 882 |  11k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  112s|  4600 |  4405 | 74620 |  16.1 |   221M |  57 |8040 | 388 | 216 |1973 |  2 | 894 |  12k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  114s|  4700 |  4505 | 76322 |  16.1 |   223M |  57 |8040 | 380 | 225 |2002 |  1 | 905 |  12k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  117s|  4800 |  4601 | 79034 |  16.4 |   223M |  57 |8040 | 371 | 216 |2021 |  1 | 915 |  12k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  118s|  4900 |  4701 | 79912 |  16.2 |   224M |  57 |8040 | 373 | 216 |2044 |  1 | 920 |  12k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  119s|  5000 |  4801 | 81333 |  16.2 |   224M |  57 |8040 | 385 | 225 |2072 |  1 | 942 |  12k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  120s|  5100 |  4887 | 82196 |  16.0 |   225M |  57 |8040 | 391 | 224 |2103 |  1 | 953 |  12k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  123s|  5200 |  4987 | 84038 |  16.1 |   225M |  57 |8040 | 362 | 213 |2137 |  1 | 967 |  13k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
