time_sec,dual_bound,objective_value,gap_pct,raw_line,objective_value_ffill,gap_pct_ffill,delta_objective,delta_gap,time_min
2.0,324603.4,323342.0,0.39,  2.0s|     1 |     0 |  3278 |     - |   264M |   0 |  20k| 677 | 671 |   0 |  0 |   6 |   0 | 3.246034e+05 | 3.233420e+05 |   0.39%| unknown,323342.0,0.39,0.0,0.0,0.03333333333333333
2.0,324603.4,323342.0,0.39,  2.0s|     1 |     0 |  3373 |     - |   278M |   0 |  20k| 677 | 689 |  18 |  1 |   6 |   0 | 3.246034e+05 | 3.233420e+05 |   0.39%| unknown,323342.0,0.39,0.0,0.0,0.03333333333333333
2.0,324603.4,323342.0,0.39,  2.0s|     1 |     0 |  3463 |     - |   279M |   0 |  20k| 677 | 707 |  36 |  2 |   6 |   0 | 3.246034e+05 | 3.233420e+05 |   0.39%| unknown,323342.0,0.39,0.0,0.0,0.03333333333333333
2.0,324603.4,323342.0,0.39,  2.0s|     1 |     0 |  3559 |     - |   281M |   0 |  20k| 677 | 726 |  55 |  3 |   6 |   0 | 3.246034e+05 | 3.233420e+05 |   0.39%| unknown,323342.0,0.39,0.0,0.0,0.03333333333333333
2.0,324603.4,323342.0,0.39,  2.0s|     1 |     0 |  3723 |     - |   288M |   0 |  20k| 677 | 745 |  74 |  4 |   6 |   0 | 3.246034e+05 | 3.233420e+05 |   0.39%| unknown,323342.0,0.39,0.0,0.0,0.03333333333333333
3.0,324603.4,323342.0,0.39,  3.0s|     1 |     0 |  3994 |     - |   291M |   0 |  20k| 677 | 764 |  93 |  5 |   6 |   0 | 3.246034e+05 | 3.233420e+05 |   0.39%| unknown,323342.0,0.39,0.0,0.0,0.05
3.0,324603.4,323342.0,0.39,  3.0s|     1 |     0 |  4386 |     - |   296M |   0 |  20k| 677 | 782 | 111 |  6 |   6 |   0 | 3.246034e+05 | 3.233420e+05 |   0.39%| unknown,323342.0,0.39,0.0,0.0,0.05
3.0,324603.4,323342.0,0.39,  3.0s|     1 |     0 |  4594 |     - |   297M |   0 |  20k| 677 | 798 | 127 |  7 |   6 |   0 | 3.246034e+05 | 3.233420e+05 |   0.39%| unknown,323342.0,0.39,0.0,0.0,0.05
4.0,324603.4,323342.0,0.39,  4.0s|     1 |     0 |  4813 |     - |   301M |   0 |  20k| 677 | 818 | 147 |  8 |   6 |   0 | 3.246034e+05 | 3.233420e+05 |   0.39%| unknown,323342.0,0.39,0.0,0.0,0.06666666666666667
4.0,324603.4,323342.0,0.39,  4.0s|     1 |     0 |  5047 |     - |   303M |   0 |  20k| 677 | 835 | 164 |  9 |   6 |   0 | 3.246034e+05 | 3.233420e+05 |   0.39%| unknown,323342.0,0.39,0.0,0.0,0.06666666666666667
4.0,324603.4,323342.0,0.39,  4.0s|     1 |     0 |  5457 |     - |   305M |   0 |  20k| 677 | 852 | 181 | 10 |   6 |   0 | 3.246034e+05 | 3.233420e+05 |   0.39%| unknown,323342.0,0.39,0.0,0.0,0.06666666666666667
5.0,324603.4,323342.0,0.39,  5.0s|     1 |     0 |  5750 |     - |   308M |   0 |  20k| 677 | 861 | 196 | 11 |   6 |   0 | 3.246034e+05 | 3.233420e+05 |   0.39%| unknown,323342.0,0.39,0.0,0.0,0.08333333333333333
12.0,324603.4,323342.0,0.39, 12.0s|     1 |     2 | 15667 |     - |   312M |   0 |  20k| 698 | 861 | 196 | 11 |  27 |  26 | 3.246034e+05 | 3.233420e+05 |   0.39%| unknown,323342.0,0.39,0.0,0.0,0.2
74.0,324602.8,323342.0,0.39, 74.0s|   100 |    97 | 80148 | 751.5 |   370M |  17 |  20k| 723 | 790 | 526 |  3 |  68 | 695 | 3.246028e+05 | 3.233420e+05 |   0.39%|   0.88%,323342.0,0.39,0.0,0.0,1.2333333333333334
114.0,324589.5,323342.0,0.39,  114s|   200 |   197 |161106 | 780.7 |   402M |  35 |  20k| 728 | 762 | 798 |  1 |  80 | 909 | 3.245895e+05 | 3.233420e+05 |   0.39%|   1.48%,323342.0,0.39,0.0,0.0,1.9
150.0,324589.5,323342.0,0.39,  150s|   300 |   297 |233718 | 762.4 |   411M |  41 |  20k| 752 | 761 |1052 |  1 | 113 |1125 | 3.245895e+05 | 3.233420e+05 |   0.39%|   1.48%,323342.0,0.39,0.0,0.0,2.5
179.0,324589.5,323342.0,0.39,  179s|   400 |   389 |296868 | 729.6 |   415M |  41 |  20k| 755 | 734 |1223 |  1 | 125 |1347 | 3.245895e+05 | 3.233420e+05 |   0.39%|   1.48%,323342.0,0.39,0.0,0.0,2.9833333333333334
218.0,324589.2,323342.0,0.39,  218s|   500 |   489 |368276 | 726.5 |   411M |  41 |  20k| 752 | 753 |1379 |  1 | 139 |1677 | 3.245892e+05 | 3.233420e+05 |   0.39%|   1.49%,323342.0,0.39,0.0,0.0,3.6333333333333333
247.0,324588.9,323342.0,0.39,  247s|   600 |   577 |430314 | 708.8 |   414M |  41 |  20k| 774 | 772 |1427 |  1 | 175 |1890 | 3.245889e+05 | 3.233420e+05 |   0.39%|   1.50%,323342.0,0.39,0.0,0.0,4.116666666666666
282.0,324588.9,323342.0,0.39,  282s|   700 |   671 |494998 | 699.9 |   418M |  41 |  20k| 778 | 754 |1646 |  1 | 185 |2158 | 3.245889e+05 | 3.233420e+05 |   0.39%|   1.50%,323342.0,0.39,0.0,0.0,4.7
